  1 1.02 0.21 0.81     ALABAMA
  4 1.00 0.42 1.00     ARIZONA
  5 1.22 0.30 0.85     ARKANSAS
  6 1.00 0.50 1.00     CALIFORNIA
  8 1.00 0.23 1.00     COLORADO
  9 1.30 1.00 0.86     CONNECTICUT
 10 1.71 1.00 1.04     DELAWARE
 12 1.10 0.22 0.88     FLORIDA
 13 1.07 0.22 0.87     GEORGIA
 16 1.32 0.28 1.00     IDAHO
 17 1.78 1.00 1.12     ILLINOIS
 18 1.90 1.00 1.18     INDIANA
 19 1.59 1.00 1.06     IOWA
 20 1.11 0.30 0.77     KANSAS
 21 1.64 1.00 1.00     KENTUCKY
 22 1.12 0.23 0.89     LOUISIANA
 23 1.03 1.00 0.70     MAINE
 24 1.74 1.00 1.03     MARYLAND
 25 1.28 1.00 0.76     MASSACHUSETTS
 26 1.37 1.00 0.92     MICHIGAN
 27 1.08 0.29 0.81     MINNESOTA
 28 1.01 0.21 0.81     MISSISSIPPI
 29 1.29 0.33 0.82     MISSOURI
 30 1.00 0.22 1.00     MONTANA
 31 1.00 0.23 1.00     NEBRASKA
 32 1.00 0.23 1.00     NEVADA
 33 1.19 1.00 1.00     NEW HAMPSHIRE
 34 1.24 0.33 0.77     NEW JERSEY
 35 1.00 0.26 1.00     NEW MEXICO
 36 1.20 1.00 0.82     NEW YORK
 37 1.49 0.41 0.96     NORTH CAROLINA
 39 1.88 1.00 1.13     OHIO
 40 0.87 0.24 0.58     OKLAHOMA
 41 1.00 0.34 1.00     OREGON
 42 1.60 0.40 1.00     PENNSYLVANIA
 44 1.25 1.00 1.00     RHODE ISLAND
 45 0.98 0.21 0.76     SOUTH CAROLINA
 46 0.74 1.00 0.63     SOUTH DAKOTA
 47 1.62 0.45 0.98     TENNESSEE
 48 0.80 0.18 0.76     TEXAS
 49 1.00 0.33 1.00     UTAH
 50 1.17 1.00 1.00     VERMONT
 51 1.52 0.37 0.96     VIRGINIA
 53 1.00 0.52 1.00     WASHINGTON
 54 1.34 1.00 0.85     WEST VIRGINIA
 55 1.04 1.00 1.00     WISCONSIN
 56 1.00 0.18 1.00     WYOMING
